"From (Date)","To (Date)","Town","Super (PMS)","Diesel (AGO)","Kerosene (IK)"
"15/03/2025","14/04/2025","Muhoroni","176.87","167.69","152.06"
"15/03/2025","14/04/2025","Mbita","177.48","168.31","152.68"
"15/03/2025","14/04/2025","Mbale","176.62","167.44","151.82"
"15/03/2025","14/04/2025","Etago","178.18","169","153.38"
"15/03/2025","14/04/2025","Magenche","178.29","169.11","153.49"
"15/03/2025","14/04/2025","Kilgoris","178.11","168.94","153.31"
"15/03/2025","14/04/2025","Malava","177.01","167.84","152.21"
"15/03/2025","14/04/2025","Lugari","177.42","168.26","152.63"
"15/03/2025","14/04/2025","Rodi Kopany","177.56","168.39","152.77"
"15/03/2025","14/04/2025","Ndhiwa","177.85","168.68","153.06"
"15/03/2025","14/04/2025","Rangwe","177.55","168.38","152.75"
